Altium Designer Pick and Place Locations
D:\ATMEL\Chimera Curiosity Board_WBZ451\v4.0\WORK\01_170122\Project_Outputs\DevTools\05-00307-R3_PNP\05-00307-R4_PNP.txt

========================================================================================================================
File Design Information:

Date:       17/01/22
Time:       18:09
Revision:   Not in VersionControl
Variant:    Production Variant
Units used: mm

Designator Comment                                                                         Layer        Footprint                                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                          
U6         WBZ451PE-I                                                                      TopLayer     MOD_WBZ451PE-I                                 13.8075      15.4190      90       ""                                                                                                                   
PAD2       "Rubber Pad Cylindrical Taper"                                                  BottomLayer  BUMP_3M_SJ5076_CYLINDRICAL_BLACK_D8H2.8        -325.8740    -469.5152    0        ""                                                                                                                   
PAD1       "Rubber Pad Cylindrical Taper"                                                  BottomLayer  BUMP_3M_SJ5076_CYLINDRICAL_BLACK_D8H2.8        -325.8740    -469.5152    0        ""                                                                                                                   
R126       Resistor                                                                        BottomLayer  RES_C_0805                                     65.0425      25.9807      270      Resistor                                                                                                             
D6         LED_TRI_ASMG-PT00-00001                                                         TopLayer     LED_BROADCOM_ASMG-PT00-00001                   26.5256      26.4922      270      "High Power LEDs - Multi-Color 1W"                                                                                   
R125       Resistor                                                                        BottomLayer  RES_C_0402                                     42.3850      27.8792      0        Resistor                                                                                                             
R124       Resistor                                                                        BottomLayer  RES_C_0402                                     23.6043      26.4985      90       Resistor                                                                                                             
R123       Resistor                                                                        BottomLayer  RES_C_0402                                     47.4650      27.8792      0        Resistor                                                                                                             
R122       Resistor                                                                        BottomLayer  RES_C_0402                                     22.5516      26.4985      90       Resistor                                                                                                             
R121       Resistor                                                                        BottomLayer  RES_C_0402                                     52.5344      2.1322       180      Resistor                                                                                                             
R120       Resistor                                                                        BottomLayer  RES_C_0402                                     55.0744      2.1322       180      Resistor                                                                                                             
R119       Resistor                                                                        BottomLayer  RES_C_0402                                     24.9998      19.4522      90       Resistor                                                                                                             
R118       Resistor                                                                        BottomLayer  RES_C_0402                                     17.5074      25.4679      0        Resistor                                                                                                             
R117       Resistor                                                                        BottomLayer  RES_C_0402                                     17.5074      24.4390      0        Resistor                                                                                                             
R116       Resistor                                                                        BottomLayer  RES_C_0402                                     33.6550      27.5590      0        Resistor                                                                                                             
R115       Resistor                                                                        TopLayer     RES_C_0402                                     45.1421      9.0021       90       Resistor                                                                                                             
LABEL1     08-10015                                                                        BottomLayer  08-10015                                       -325.8740    -469.5152    180      ""                                                                                                                   
C79        "Capacitor NP"                                                                  TopLayer     CAP_C_0402                                     35.8495      24.7871      270      Capacitor                                                                                                            
C65        "Capacitor NP"                                                                  TopLayer     CAP_C_0402                                     31.1001      24.5000      90       Capacitor                                                                                                            
U11        "EMI2124 WDF-8"                                                                 TopLayer     WDFN-8_EP                                      69.6066      15.1764      90       ""                                                                                                                   
J6         "Header 1x2"                                                                    TopLayer     HDR_M_2.54_1x2                                 18.3240      28.2446      180      ""                                                                                                                   
R114       Resistor                                                                        TopLayer     RES_C_0402                                     21.0566      6.0380       180      Resistor                                                                                                             
C11        "Capacitor NP"                                                                  TopLayer     CAP_C_0402                                     16.4350      6.0380       180      Capacitor                                                                                                            
Y1         "Crystal 2 Pins"                                                                TopLayer     CRYSTAL_ABS07                                  15.4850      3.9624       180      Crystal                                                                                                              
R112       Resistor                                                                        TopLayer     RES_C_0402                                     22.9606      10.4140      180      Resistor                                                                                                             
R111       Resistor                                                                        TopLayer     RES_C_0402                                     22.9606      9.3980       180      Resistor                                                                                                             
C30        "Capacitor NP"                                                                  TopLayer     CAP_C_0402                                     12.0330      5.5880       90       ""                                                                                                                   
R110       Resistor                                                                        BottomLayer  RES_C_0402                                     29.3040      21.8440      180      Resistor                                                                                                             
R108       Resistor                                                                        TopLayer     RES_C_0402                                     70.5540      7.6454       180      Resistor                                                                                                             
U18        "MCP2200 QFN-20"                                                                BottomLayer  QFN-20_5X5                                     54.6968      8.4708       0        "USB 2.0 to UART Protocol Conv with GPIO QFN20"                                                                      
X1         "Resonator 3 Pins"                                                              TopLayer     RESONATOR_CSTCE-G_L3.2W1.3H0.8                 53.6808      6.8452       180      Resonator                                                                                                            
U10        "MCP172X FIX DFN-8"                                                             TopLayer     DFN-8_3X3                                      33.5050      25.9121      180      LDO                                                                                                                  
R90        Resistor                                                                        TopLayer     RES_C_0402                                     70.2924      6.5150       180      Resistor                                                                                                             
R89        Resistor                                                                        TopLayer     RES_C_0402                                     40.8284      7.8916       90       Resistor                                                                                                             
R88        Resistor                                                                        TopLayer     RES_C_0402                                     37.4756      10.3044      180      Resistor                                                                                                             
Q8         "Transistor MOS-N GSD"                                                          TopLayer     SOT-23-3                                       38.4154      7.8915       90       "Transistor MOS"                                                                                                     
C68        "Capacitor NP"                                                                  BottomLayer  CAP_C_0402                                     61.4558      11.9180      90       ""                                                                                                                   
C67        "Capacitor NP"                                                                  BottomLayer  CAP_C_0402                                     62.8960      7.2734       0        ""                                                                                                                   
C66        "Capacitor NP"                                                                  BottomLayer  CAP_C_0402                                     62.5001      5.4593       90       ""                                                                                                                   
C63        "Capacitor NP"                                                                  TopLayer     CAP_C_0201                                     59.5990      14.0080      0        Capacitor                                                                                                            
C62        "Capacitor NP"                                                                  TopLayer     CAP_C_0201                                     56.6780      14.8970      135      Capacitor                                                                                                            
C1         "Capacitor NP"                                                                  TopLayer     CAP_C_0201                                     47.5593      7.0786       180      Capacitor                                                                                                            
Y3         "DSC60xx DFN-4_LGA-4"                                                           TopLayer     OSCILLATOR_DSCxxxxHxxx_L1.6W1.2H0.84           64.8060      13.7540      270      ""                                                                                                                   
Y2         "DSC60xx DFN-4_LGA-4"                                                           BottomLayer  OSCILLATOR_DSCxxxxHxxx_L1.6W1.2H0.84           59.4720      10.7060      180      ""                                                                                                                   
U19        MIC2042                                                                         BottomLayer  TSSOP-14                                       65.3684      18.0518      180      "IC SMT, MIC2042, DISTRIBUTION SW SGL 14-TSSOP"                                                                      
U17        USB2512B-I/M2                                                                   TopLayer     QFN-36_6X6_EP3.7X3.7                           65.5724      7.9820       0        "USB 2.0 Hi-Speed Hub Controller"                                                                                    
